streamerId,rip,creatorId,ctr,viewer,peakview,airtime,contentsGraphData,content,timeGraphData,openHour,follower,impression,cost
kdh89811,1.0,103915007,2,0,2,1,"{""data"": [{""gameName"": ""배틀그라운드"", ""percent"": 1.0}, {""gameName"": ""기타"", ""percent"": 0.0}]}",배틀그라운드,"{""data"": [{""hours"": 17, ""sumtime"": 0.4}, {""hours"": 18, ""sumtime"": 0.9}, {""hours"": 21, ""sumtime"": 0.1}, {""hours"": 22, ""sumtime"": 1.0}, {""hours"": 23, ""sumtime"": 0.9}]}","저녁, 오후",150,0,0
templar56,1.0,138964248,0,1,4,4,"{""data"": [{""gameName"": ""PC 기타게임"", ""percent"": 1.0}, {""gameName"": ""기타"", ""percent"": 0.0}]}",PC 기타게임,"{""data"": [{""hours"": 6, ""sumtime"": 0.63}, {""hours"": 7, ""sumtime"": 0.33}, {""hours"": 8, ""sumtime"": 0.23}, {""hours"": 2, ""sumtime"": 0.33}, {""hours"": 3, ""sumtime"": 0.33}, {""hours"": 4, ""sumtime"": 0.7}, {""hours"": 5, ""sumtime"": 1.0}]}","새벽, 오전",645,24,12
cickkr,1.0,232800590,2,1,2,3,"{""data"": [{""gameName"": ""PC 기타게임"", ""percent"": 1.0}, {""gameName"": ""기타"", ""percent"": 0.0}]}",PC 기타게임,"{""data"": [{""hours"": 20, ""sumtime"": 0.03}, {""hours"": 21, ""sumtime"": 0.46}, {""hours"": 22, ""sumtime"": 1.0}, {""hours"": 23, ""sumtime"": 1.0}, {""hours"": 0, ""sumtime"": 0.41}]}","저녁, 새벽",21,18,12
luciddreamer,1.0,434891434,4,1,4,5,"{""data"": [{""gameName"": ""배틀그라운드M"", ""percent"": 0.76}, {""gameName"": ""로스트아크"", ""percent"": 0.21}, {""gameName"": ""기타"", ""percent"": 0.03}]}",배틀그라운드M,"{""data"": [{""hours"": 11, ""sumtime"": 0.01}, {""hours"": 12, ""sumtime"": 0.53}, {""hours"": 13, ""sumtime"": 0.99}, {""hours"": 14, ""sumtime"": 0.96}, {""hours"": 15, ""sumtime"": 1.0}, {""hours"": 16, ""sumtime"": 0.89}, {""hours"": 17, ""sumtime"": 0.11}, {""hours"": 19, ""sumtime"": 0.18}, {""hours"": 20, ""sumtime"": 0.68}, {""hours"": 21, ""sumtime"": 0.77}, {""hours"": 22, ""sumtime"": 0.73}, {""hours"": 23, ""sumtime"": 0.58}, {""hours"": 0, ""sumtime"": 0.24}, {""hours"": 1, ""sumtime"": 0.14}, {""hours"": 2, ""sumtime"": 0.07}]}","오후, 저녁",79,30,12
901019s,1.0,458563205,2,1,3,7,"{""data"": [{""gameName"": ""WOW"", ""percent"": 0.58}, {""gameName"": ""토크/캠방"", ""percent"": 0.25}, {""gameName"": ""기타"", ""percent"": 0.17}]}",WOW,"{""data"": [{""hours"": 12, ""sumtime"": 0.06}, {""hours"": 13, ""sumtime"": 0.2}, {""hours"": 14, ""sumtime"": 0.41}, {""hours"": 15, ""sumtime"": 1.0}, {""hours"": 16, ""sumtime"": 0.86}, {""hours"": 17, ""sumtime"": 0.81}, {""hours"": 18, ""sumtime"": 0.6}, {""hours"": 19, ""sumtime"": 0.61}, {""hours"": 20, ""sumtime"": 0.68}, {""hours"": 21, ""sumtime"": 0.75}, {""hours"": 22, ""sumtime"": 0.74}, {""hours"": 23, ""sumtime"": 0.64}, {""hours"": 0, ""sumtime"": 0.5}, {""hours"": 1, ""sumtime"": 0.25}, {""hours"": 2, ""sumtime"": 0.22}, {""hours"": 3, ""sumtime"": 0.22}, {""hours"": 4, ""sumtime"": 0.06}]}","저녁, 오후",191,42,12
gur120,0.74,V2_gur120_1612974175679,0,66,155,3,"{""data"": [{""gameName"": ""리니지M"", ""percent"": 1.0}, {""gameName"": ""기타"", ""percent"": 0.0}]}",리니지M,"{""data"": [{""hours"": 12, ""sumtime"": 0.56}, {""hours"": 13, ""sumtime"": 1.0}, {""hours"": 14, ""sumtime"": 0.93}, {""hours"": 15, ""sumtime"": 0.77}, {""hours"": 16, ""sumtime"": 0.11}]}",오후,1292,879,586
lje941119,0.85,V2_lje941119_1616139695340,0,15,49,5,"{""data"": [{""gameName"": ""V4"", ""percent"": 0.71}, {""gameName"": ""스팀게임"", ""percent"": 0.29}, {""gameName"": ""기타"", ""percent"": 0.0}]}",V4,"{""data"": [{""hours"": 10, ""sumtime"": 0.01}, {""hours"": 14, ""sumtime"": 0.12}, {""hours"": 15, ""sumtime"": 0.13}, {""hours"": 16, ""sumtime"": 0.19}, {""hours"": 17, ""sumtime"": 0.26}, {""hours"": 18, ""sumtime"": 0.26}, {""hours"": 19, ""sumtime"": 0.31}, {""hours"": 20, ""sumtime"": 0.54}, {""hours"": 21, ""sumtime"": 0.85}, {""hours"": 22, ""sumtime"": 1.0}, {""hours"": 23, ""sumtime"": 0.85}, {""hours"": 0, ""sumtime"": 0.92}, {""hours"": 1, ""sumtime"": 0.59}, {""hours"": 2, ""sumtime"": 0.21}, {""hours"": 3, ""sumtime"": 0.08}]}","저녁, 새벽",77,382,153
rheovk,0.78,V2_rkdhwlssh_1616449081415,2,19,56,6,"{""data"": [{""gameName"": ""LoL"", ""percent"": 0.78}, {""gameName"": ""주식"", ""percent"": 0.2}, {""gameName"": ""기타"", ""percent"": 0.02}]}",LoL,"{""data"": [{""hours"": 6, ""sumtime"": 0.66}, {""hours"": 7, ""sumtime"": 0.58}, {""hours"": 8, ""sumtime"": 0.92}, {""hours"": 9, ""sumtime"": 1.0}, {""hours"": 10, ""sumtime"": 0.84}, {""hours"": 11, ""sumtime"": 0.56}, {""hours"": 12, ""sumtime"": 0.25}, {""hours"": 13, ""sumtime"": 0.14}, {""hours"": 14, ""sumtime"": 0.07}, {""hours"": 15, ""sumtime"": 0.15}, {""hours"": 16, ""sumtime"": 0.22}, {""hours"": 17, ""sumtime"": 0.26}, {""hours"": 18, ""sumtime"": 0.15}, {""hours"": 19, ""sumtime"": 0.22}, {""hours"": 20, ""sumtime"": 0.34}, {""hours"": 21, ""sumtime"": 0.44}, {""hours"": 22, ""sumtime"": 0.57}, {""hours"": 23, ""sumtime"": 0.61}, {""hours"": 0, ""sumtime"": 0.6}, {""hours"": 1, ""sumtime"": 0.72}, {""hours"": 2, ""sumtime"": 0.74}, {""hours"": 3, ""sumtime"": 0.86}, {""hours"": 4, ""sumtime"": 0.82}, {""hours"": 5, ""sumtime"": 0.56}]}","오전, 새벽",1283,534,178
smh1416,0.4,V2_smh1416_1615888066344,0,26,144,7,"{""data"": [{""gameName"": ""디아블로2"", ""percent"": 1.0}, {""gameName"": ""기타"", ""percent"": 0.0}]}",디아블로2,"{""data"": [{""hours"": 6, ""sumtime"": 0.11}, {""hours"": 7, ""sumtime"": 0.07}, {""hours"": 8, ""sumtime"": 0.09}, {""hours"": 9, ""sumtime"": 0.15}, {""hours"": 10, ""sumtime"": 0.09}, {""hours"": 11, ""sumtime"": 0.07}, {""hours"": 12, ""sumtime"": 0.12}, {""hours"": 13, ""sumtime"": 0.17}, {""hours"": 14, ""sumtime"": 0.38}, {""hours"": 15, ""sumtime"": 0.64}, {""hours"": 16, ""sumtime"": 0.83}, {""hours"": 17, ""sumtime"": 1.0}, {""hours"": 18, ""sumtime"": 0.87}, {""hours"": 19, ""sumtime"": 0.84}, {""hours"": 20, ""sumtime"": 0.85}, {""hours"": 21, ""sumtime"": 0.77}, {""hours"": 22, ""sumtime"": 0.62}, {""hours"": 23, ""sumtime"": 0.41}, {""hours"": 0, ""sumtime"": 0.26}, {""hours"": 1, ""sumtime"": 0.01}, {""hours"": 2, ""sumtime"": 0.07}, {""hours"": 3, ""sumtime"": 0.07}, {""hours"": 4, ""sumtime"": 0.12}, {""hours"": 5, ""sumtime"": 0.14}]}","저녁, 오후",1102,437,125
vitnaforever,0.89,V2_soundloaded9_1615939237644,0,32,52,3,"{""data"": [{""gameName"": ""피파온라인4"", ""percent"": 0.7}, {""gameName"": ""LoL"", ""percent"": 0.3}, {""gameName"": ""기타"", ""percent"": 0.0}]}",피파온라인4,"{""data"": [{""hours"": 19, ""sumtime"": 0.01}, {""hours"": 20, ""sumtime"": 0.17}, {""hours"": 21, ""sumtime"": 0.77}, {""hours"": 22, ""sumtime"": 1.0}, {""hours"": 23, ""sumtime"": 0.93}, {""hours"": 0, ""sumtime"": 0.24}, {""hours"": 1, ""sumtime"": 0.04}]}","저녁, 새벽",1490,513,342
wemidas,0.61,V2_wemidas_1616649269234,3,14,81,8,"{""data"": [{""gameName"": ""리니지"", ""percent"": 0.87}, {""gameName"": ""기타"", ""percent"": 0.13}]}",리니지,"{""data"": [{""hours"": 9, ""sumtime"": 0.11}, {""hours"": 10, ""sumtime"": 0.55}, {""hours"": 11, ""sumtime"": 0.78}, {""hours"": 12, ""sumtime"": 0.98}, {""hours"": 13, ""sumtime"": 1.0}, {""hours"": 14, ""sumtime"": 0.95}, {""hours"": 15, ""sumtime"": 0.83}, {""hours"": 16, ""sumtime"": 0.59}, {""hours"": 17, ""sumtime"": 0.51}, {""hours"": 18, ""sumtime"": 0.42}, {""hours"": 19, ""sumtime"": 0.39}, {""hours"": 20, ""sumtime"": 0.33}, {""hours"": 21, ""sumtime"": 0.17}, {""hours"": 22, ""sumtime"": 0.04}, {""hours"": 23, ""sumtime"": 0.03}, {""hours"": 0, ""sumtime"": 0.04}]}","오후, 오전",164,410,102
yymabcd,0.76,V2_yymabcd_1616497433142,0,11,65,7,"{""data"": [{""gameName"": ""아이온"", ""percent"": 0.89}, {""gameName"": ""기타"", ""percent"": 0.11}]}",아이온,"{""data"": [{""hours"": 7, ""sumtime"": 0.09}, {""hours"": 8, ""sumtime"": 0.2}, {""hours"": 9, ""sumtime"": 0.25}, {""hours"": 10, ""sumtime"": 0.26}, {""hours"": 11, ""sumtime"": 0.39}, {""hours"": 12, ""sumtime"": 0.44}, {""hours"": 13, ""sumtime"": 0.43}, {""hours"": 14, ""sumtime"": 0.69}, {""hours"": 15, ""sumtime"": 1.0}, {""hours"": 16, ""sumtime"": 0.64}, {""hours"": 17, ""sumtime"": 0.61}, {""hours"": 18, ""sumtime"": 0.45}, {""hours"": 19, ""sumtime"": 0.46}, {""hours"": 20, ""sumtime"": 0.59}, {""hours"": 21, ""sumtime"": 0.55}, {""hours"": 22, ""sumtime"": 0.57}, {""hours"": 23, ""sumtime"": 0.56}, {""hours"": 0, ""sumtime"": 0.65}, {""hours"": 1, ""sumtime"": 0.64}, {""hours"": 2, ""sumtime"": 0.41}, {""hours"": 3, ""sumtime"": 0.22}, {""hours"": 4, ""sumtime"": 0.23}, {""hours"": 5, ""sumtime"": 0.03}]}","오후, 저녁",224,351,100
